,activity_id,institution_id,source_id,experiment_id,member_id,timescale,variable_id,method,downscaled_daily_data_uri,version
0,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
1,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
2,CMIP,CCCma,CanESM5,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
3,CMIP,CCCma,CanESM5,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
4,CMIP,CCCma,CanESM5,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
5,CMIP,MIROC,MIROC6,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
6,CMIP,MIROC,MIROC6,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
7,CMIP,MIROC,MIROC6,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
8,CMIP,MPI-M,MPI-ESM1-2-HR,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
9,CMIP,MPI-M,MPI-ESM1-2-HR,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
10,CMIP,MPI-M,MPI-ESM1-2-HR,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
11,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
12,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
13,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
14,ScenarioMIP,BCC,BCC-CSM2-MR,ssp245,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.BCC.BCC-CSM2-MR.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
15,ScenarioMIP,BCC,BCC-CSM2-MR,ssp245,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.BCC.BCC-CSM2-MR.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
16,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
